rank,team_id,team_slug,team_name,tier
1039,13595,z3phyr,"97

(Z3phyr)

1,000",5
1040,13597,koledzyzpola,"97

KoledzyZPola

1,000",5
1041,13598,eternity-esports,"97

Eternity eSports™

1,000",5
1042,13599,team-b4nana,"97

Team B4NANA

1,000",5
1043,13601,team-nevermind,"97

Team Nevermind

1,000",5
1044,13602,team-vacom,"97

Team Vacom

1,000",5
1045,13603,to-be-decided4-cs,"97

To Be Decided4.CS

1,000",5
1046,13604,to-be-decided5-cs,"97

To Be Decided5.CS

1,000",5
1047,13610,very-serious,"97

Very Serious

1,000",5
1048,13611,team-saurian,"97

Team Saurian

1,000",5
1049,13612,team-barents,"97

Team Barents

1,000",5
1050,13614,team-vision,"97

Team Vision

1,000",5
1051,13615,phegs,"97

PHEGS

1,000",5
1052,13616,solid-state-gaming,"97

Solid State Gaming

1,000",5
1053,13618,ulti-play,"97

Ulti-Play

1,000",5
1054,13619,hellguardians,"97

HellGuardians

1,000",5
1055,13623,esports-team-ines,"97

eSports Team - INES

1,000",5
1056,13625,legion-du-coq-d-or,"97

Légion Du Coq D'or

1,000",5
1057,13639,nothingbuthead,"97

NothingButHead

1,000",5
1058,13662,exposed-shadows,"97

Exposed Shadows

1,000",5
1059,13669,phoenix-esports-club,"97

Phoenix eSports Club

1,000",5
1060,13670,shady-warriors-esports,"97

Shady Warriors eSports

1,000",5
1061,13672,c-thanatos,"97

C*Thanatos

1,000",5
1062,13676,astatic,"97

Astatic

1,000",5
1063,13681,we-are-serious,"97

we are serious

1,000",5
1064,13683,pewpew,"97

PewPew

1,000",5
1065,13687,titanium-cs,"97

Titanium.CS

1,000",5
1066,13689,spitfires,"97

Spitfires

1,000",5
1067,13691,just-frag,"97

just'frag

1,000",5
1068,13692,undeadfamily,"97

UnDeadFamily

1,000",5
1069,13703,racine2,"97

Racine²

1,000",5
1070,13704,team-zymbiote,"97

Team Zymbiote

1,000",5
1071,13705,oegco,"97

▪EGC▪

1,000",5
1072,13707,streikop-cs,"97

STREIKOP cs

1,000",5
1073,13708,geruchenbagen,"97

Geruchenbagen

1,000",5
1074,13709,logic,"97

Logic

1,000",5
1075,13711,teamninjasinpujama,"97

TeamNINJASINPUJAMA

1,000",5
1076,13713,team-integrity,"97

Team Integrity

1,000",5
1077,13723,noformmonster,"97

NoFormMonster

1,000",5
1078,13727,bravoteampro,"97

BravoTeamPro

1,000",5
1079,13731,degenx-team,"97

DegenX Team

1,000",5
1080,13732,enigma,"97

ENiGMA

1,000",5
1081,13734,forbidden-esports,"97

Forbidden | Esports

1,000",5
1082,13742,onerous,"97

Onerous

1,000",5
1083,13743,electrk-gaming,"97

Electrk Gaming

1,000",5
1084,13746,team-dideo,"97

team Dideo

1,000",5
1085,13749,hysteria-cs,"97

Hysteria CS

1,000",5
1086,13750,linxz,"97

linXZ

1,000",5
1087,13751,volatile-e-sports-club,"97

Volatile E-Sports Club

1,000",5
1088,13754,bad-company-ii,"97

Bad Company II

1,000",5
1089,13770,fullbring,"97

Fullbring

1,000",5
1090,13788,monkey-esports,"97

Monkey eSports

1,000",5
1091,13790,g2a-electronic-sport,"97

G2A Electronic Sport

1,000",5
1092,13791,mortem-deus,"97

Mortem.Deus

1,000",5
1093,13807,square-heads,"97

Square-Heads

1,000",5
1094,13811,last-try,"97

last try

1,000",5
1095,13814,blackout,"97

BlackOut

1,000",5
1096,13825,fiya,"97

fiYa

1,000",5
1097,13836,acolyte,"97

Acolyte

1,000",5
1098,13839,quarter-fight-team,"97

Quarter Fight Team

1,000",5
1099,13845,plant,"97

PLANT

1,000",5
1100,13847,aftermath-revolution,"97

Aftermath Revolution

1,000",5
1101,13886,aquiver-esports,"97

Aquiver eSports

1,000",5
1102,13890,twentyseven,"97

TWENTYSEVEN

1,000",5
1103,13926,ultimoexiled,"97

UltimoExiled

1,000",5
1104,13935,viral-team,"97

Viral Team

1,000",5
1105,13946,ace-of-shadows,"97

Ace of Shadows

1,000",5
1106,13952,team-decimation-e-sports,"97

Team Decimation e-Sports

1,000",5
1107,13958,express-csgo,"97

express.csgo

1,000",5
1108,13964,sequence,"97

Sequence

1,000",5
1109,13967,victory-is-ours-team,"97

Victory is ours Team

1,000",5
1110,13969,drop-five,"97

Drop Five

1,000",5
1111,13970,generation-of-puppets,"97

Generation of Puppets

1,000",5
1112,13971,phoenix-network-csgo,"97

Phoenix Network CSGO

1,000",5
1113,13973,spanishboys,"97

SpanishBoys

1,000",5
1114,13997,bravoproteam,"97

BravoProTeam

1,000",5
1115,13999,5-flippin-ninjas,"97

5 Flippin Ninjas

1,000",5
1116,14006,team-jellyfish,"97

Team Jellyfish

1,000",5
1117,14007,dynom,"97

Dynom

1,000",5
1118,14008,devilfox-gaming,"97

Devilfox Gaming

1,000",5
1119,14010,gosforth,"97

GOSFORTH

1,000",5
1120,14034,longlegslongnecks,"97

LongLegsLongNecks

1,000",5
1121,14035,team-devias,"97

Team Devias

1,000",5
1122,14042,illumin8,"97

illumin8

1,000",5
1123,14044,the-websters,"97

The websters

1,000",5
1124,14047,canadiancrusher,"97

CanadianCrusher

1,000",5
1125,14055,teamcronus,"97

TeamCronus

1,000",5
1126,14061,shadow-s-gamers,"97

Shadow's Gamers

1,000",5
1127,14083,manky-csgo,"97

MankY CSGO

1,000",5
1128,14086,oxoon,"97

Oxoon

1,000",5
1129,14089,wondeteam,"97

WondeteaM

1,000",5
1130,14092,libr8-gaming,"97

Libr8 Gaming

1,000",5
1131,14096,nofdsf123,"97

nofdsf123

1,000",5
1132,14097,hegyikecske,"97

HEGYIkecske

1,000",5
1133,14101,deathtouch,"97

Deathtouch

1,000",5
1134,14110,innate-warriors,"97

Innate Warriors

1,000",5
1135,14111,shouthingbeasts,"97

ShouthingBeasts

1,000",5
1136,14114,gowipe,"97

GoWipe

1,000",5
1137,14117,campelo-esports,"97

Campelo.eSports

1,000",5
1138,14120,esc-girl-south,"97

ESC-Girl South

1,000",5
1139,14121,simple-gaming,"97

Simple-Gaming

1,000",5
1140,14123,hooligans,"97

Hooligans

1,000",5
1141,14124,frag-society,"97

Frag Society

1,000",5
1142,14131,esport-rezun,"97

eSport Rezun

1,000",5
1143,14132,revolt-gg,"97

Revolt.gg

1,000",5
1144,14137,team-five-senses,"97

Team Five Senses

1,000",5
1145,14140,infowayindia,"97

InfowayIndia

1,000",5
1146,14142,arcadia-gg,"97

Arcadia.gg

1,000",5
1147,14143,team-cold-beer,"97

Team Cold Beer

1,000",5
1148,14147,thedarkknights,"97

TheDarkKnights

1,000",5
1149,14148,killandspray,"97

KillAndSpray

1,000",5
1150,14149,milani,"97

Milani

1,000",5
1151,14150,luminous-e-sports,"97

Luminous e-Sports

1,000",5
1152,14157,team-expandables,"97

Team Expandables

1,000",5
1153,14159,wild-weasels-multigaming,"97

Wild Weasels Multigaming

1,000",5
1154,14160,pro-devils,"97

Pro Devils

1,000",5
1155,14162,redcarpet,"97

REDCARPET

1,000",5
1156,14164,west3rn,"97

West3rn

1,000",5
1157,14165,rift-gaming,"97

Rift Gaming.

1,000",5
1158,14168,luckygaming,"97

LuckyGaming

1,000",5
1159,14170,fdfd,"97

fdfd

1,000",5
1160,14172,prikol-nyie-gholosovyie-otkrytki,"97

прикольные голосовые открытки

1,000",5
1161,14178,sappling,"97

Sappling

1,000",5
1162,14182,clemson-vs-oklahoma-orange-bowl-live,"97

Clemson vs Oklahoma Orange Bowl Live

1,000",5
1163,14188,chargerrs,"97

Chargerrs

1,000",5
1164,14189,all-sports,"97

All sports

1,000",5
1165,14192,quintus-gaming,"97

Quintus Gaming

1,000",5
1166,14197,encoregame-eu,"97

EncoreGame EU

1,000",5
1167,14198,amateur-team-vortex,"97

amateur.Team Vortex

1,000",5
1168,14200,sherlock-the-abominable-bride,"97

SHERLOCK ""The Abominable Bride""

1,000",5
1169,14202,arizona-cardinals-vs-st-louis-rams-live,"97

Arizona Cardinals vs St Louis Rams Live

1,000",5
1170,14209,suckerpunch,"97

SuckerPunch

1,000",5
1171,14223,bogdankun,"97

bogdankun

1,000",5
1172,14234,chaosgangstaz,"97

ChaosGangstaz

1,000",5
1173,14240,northen-wave,"97

Northen Wave

1,000",5
1174,14260,electricfire16,"97

ElectricFire16

1,000",5
1175,14269,bekfest,"97

BEKFEST

1,000",5
1176,14273,kaljaran-prikaatti,"97

Kaljaran prikaatti

1,000",5
1177,14274,turkish-gamers,"97

Turkish Gamers

1,000",5
1178,14275,esports4us,"97

eSports4US

1,000",5
1179,14283,aito-j,"97

AITO J

1,000",5
1180,14284,scarred-hunters,"97

Scarred Hunters

1,000",5
