rank,team_id,team,,tier,hltv_id,slug
9999,10245,team-underworld,,5,,
9999,10253,its-nothing-personal,,5,,
9999,10254,justsayl0l,,5,,
9999,10257,bitange,,5,,
9999,10260,crazy-effect,,5,,
9999,10262,latvian-skirmishers,,5,,
9999,10270,team-oxigen-csgo,,5,,
9999,10273,borntoeat,,5,,
9999,10375,repeated-game,,5,,
9999,10394,pixel-panthers-sports,,5,,
9999,10449,a-m-r-a-k,,5,,
9999,10469,pandas-koalas,,5,,
9999,10477,cobb-gaming,,5,,
9999,10486,detroit-alley-weed,,5,,
9999,10490,raxev,,5,,
9999,10491,naturallyterriblegaming,,5,,
9999,10502,vkthax,,5,,
9999,10511,vadax,,5,,
9999,10517,ryo,,5,,
9999,10522,2dhax,,5,,
9999,10523,tixer,,5,,
9999,10524,nordic-noodles,,5,,
9999,10531,team-kishi-kaisei,,5,,
9999,10542,null-wire,,5,,
9999,10548,limitless-esports-gaming,,5,,
9999,10551,skill-nukerz,,5,,
9999,10559,vikingz,,5,,
9999,10568,de-troyers,,5,,
9999,10570,salo-tactics,,5,,
9999,10572,hedgehog-ninjas,,5,,
9999,10573,killerrat,,5,,
9999,10579,aon,,5,,
9999,10582,simply-batty,,5,,
9999,10588,team-artefix,,5,,
9999,10589,angys,,5,,
9999,10590,tygers-esports-team,,5,,
9999,10599,wavelength-eu,,5,,
9999,10601,nd-redcode,,5,,
9999,10613,orcus-pro,,5,,
9999,10624,emilijus,,5,,
9999,10627,x-warriors,,5,,
9999,10630,made-in-malaysia,,5,,
9999,10631,comrades4,,5,,
9999,10646,p-rediction,,5,,
9999,10650,team-ferret,,5,,
9999,10655,outworld-imbalansers,,5,,
9999,10656,mariquitas,,5,,
9999,10667,taod-csgo,,5,,
9999,10668,team-equilibrium,,5,,
9999,10672,nostalgie-csgo,,5,,
9999,10673,myrevenge-e-v-hungary,,5,,
9999,10679,aimcore,,5,,
9999,10681,c-i-f,,5,,
9999,10683,russian-crazy-men,,5,,
9999,10686,pl-n,,5,,
9999,10689,epilepzy,,5,,
9999,10704,dutch-courage,,5,,
9999,10715,surion-team,,5,,
9999,10716,awakes,,5,,
9999,10717,valnath-gaming,,5,,
9999,10723,bis-dat-qui-cito-dat,,5,,
9999,10735,mn-masters,,5,,
9999,10736,canadien-eh,,5,,
9999,10738,mucholinis,,5,,
9999,10742,klub-penguin-proz,,5,,
9999,10743,ultra-lightning-strike-force,,5,,
9999,10749,jouhoig,,5,,
9999,10750,infinity-love,,5,,
9999,10751,tripolis,,5,,
9999,10752,fedderne-csgo,,5,,
9999,10755,rase-raptors,,5,,
9999,10757,piotras,,5,,
9999,10763,team-10,,5,,
9999,10765,afoe,,5,,
9999,10766,wataha,,5,,
9999,10770,team-senergy,,5,,
9999,10772,jr-family,,5,,
9999,10791,jewnicorns,,5,,
9999,10797,sobee,,5,,
9999,10813,tenergyturtle,,5,,
9999,10815,skyclad,,5,,
9999,10818,team-venai,,5,,
9999,10820,anarchy,,5,,
9999,10825,rainbow-kings,,5,,
9999,10826,south-krd,,5,,
9999,10829,panthers-in-heat,,5,,
9999,10831,5gpower,,5,,
9999,10832,team-carpediem,,5,,
9999,10833,powends,,5,,
9999,10834,natus-ninja,,5,,
9999,10840,otters-in-suits,,5,,
9999,10841,teamfatal,,5,,
9999,10851,existenceg,,5,,
9999,10855,team-nexos,,5,,
9999,10857,hihi,,5,,
9999,10860,the-track-pads,,5,,
